nta2020,job_score,biz_count
BK0101,0.6679389312977099,278.0
BK0102,0.8244274809160306,339.0
BK0103,0.3893129770992366,45.0
BK0104,0.5954198473282443,340.0
BK0201,0.7709923664122137,102.0
BK0202,0.767175572519084,242.0
BK0203,0.549618320610687,106.0
BK0204,0.6068702290076335,96.0
BK0261,0.2786259541984733,16.0
BK0301,0.6564885496183206,276.0
BK0302,0.5572519083969466,257.0
BK0401,0.9198473282442748,360.0
BK0402,0.6717557251908397,220.0
BK0471,0.08396946564885496,0.0
BK0501,0.7480916030534351,239.0
BK0502,0.6259541984732825,186.0
BK0503,0.4198473282442748,167.0
BK0504,0.25572519083969464,34.0
BK0505,0.5687022900763359,198.0
BK0571,0.08396946564885496,0.0
BK0601,0.5152671755725191,326.0
BK0602,0.6793893129770993,206.0
BK0701,0.49236641221374045,76.0
BK0702,0.7137404580152672,452.0
BK0703,0.9045801526717557,279.0
BK0771,0.08396946564885496,0.0
BK0801,0.7061068702290076,88.0
BK0802,0.683206106870229,287.0
BK0891,0.08396946564885496,0.0
BK0901,0.5877862595419847,129.0
BK0902,0.5534351145038168,147.0
BK1001,0.5916030534351145,398.0
BK1002,0.6603053435114504,224.0
BK1061,0.19083969465648856,1.0
BK1091,0.08396946564885496,0.0
BK1101,0.8625954198473282,613.0
BK1102,0.732824427480916,199.0
BK1103,0.8015267175572519,378.0
BK1201,0.9236641221374046,183.0
BK1202,0.6908396946564885,330.0
BK1203,0.9770992366412213,388.0
BK1204,0.46946564885496184,144.0
BK1301,0.46564885496183206,115.0
BK1302,0.4961832061068702,238.0
BK1303,0.9656488549618321,294.0
BK1391,0.08396946564885496,0.0
BK1401,0.8587786259541985,292.0
BK1402,0.8358778625954199,272.0
BK1403,0.5648854961832062,201.0
BK1501,0.8282442748091603,411.0
BK1502,0.7824427480916031,288.0
BK1503,0.5725190839694656,399.0
BK1601,0.4580152671755725,85.0
BK1602,0.5610687022900763,192.0
BK1701,0.6984732824427481,165.0
BK1702,0.5190839694656488,130.0
BK1703,0.6335877862595419,187.0
BK1704,0.6297709923664122,124.0
BK1771,0.08396946564885496,0.0
BK1801,0.5992366412213741,355.0
BK1802,0.4541984732824427,248.0
BK1803,0.4389312977099237,274.0
BK1891,0.08396946564885496,0.0
BK1892,0.08396946564885496,0.0
BK1893,0.08396946564885496,0.0
BK5591,0.22900763358778625,13.0
BK5691,0.16793893129770993,1.0
BK5692,0.08396946564885496,0.0
BK5693,0.08396946564885496,0.0
BX0101,0.6030534351145038,270.0
BX0102,0.8206106870229007,201.0
BX0201,0.41603053435114506,158.0
BX0202,0.8549618320610687,187.0
BX0291,0.08396946564885496,0.0
BX0301,0.6450381679389313,99.0
BX0302,0.6145038167938931,66.0
BX0303,0.5801526717557252,101.0
BX0391,0.22519083969465647,3.0
BX0401,0.7595419847328244,264.0
BX0402,0.6106870229007634,86.0
BX0403,0.9351145038167938,230.0
BX0491,0.24427480916030533,3.0
BX0492,0.08396946564885496,0.0
BX0501,0.7213740458015268,184.0
BX0502,0.9465648854961832,236.0
BX0503,0.9885496183206107,225.0
BX0601,0.583969465648855,74.0
BX0602,0.8129770992366412,183.0
BX0603,0.8396946564885496,195.0
BX0701,0.7404580152671756,178.0
BX0702,0.5229007633587787,134.0
BX0703,0.7748091603053435,164.0
BX0801,0.6526717557251909,81.0
BX0802,0.7557251908396947,122.0
BX0803,0.27099236641221375,97.0
BX0901,0.7290076335877863,308.0
BX0902,0.32061068702290074,59.0
BX0903,0.44656488549618323,129.0
BX0904,0.7786259541984732,96.0
BX0991,0.08396946564885496,0.0
BX1001,0.7519083969465649,151.0
BX1002,0.3702290076335878,184.0
BX1003,0.4312977099236641,129.0
BX1004,0.3816793893129771,84.0
BX1071,0.08396946564885496,0.0
BX1091,0.08396946564885496,0.0
BX1101,0.7938931297709924,168.0
BX1102,0.48091603053435117,135.0
BX1103,0.5343511450381679,168.0
BX1104,0.816793893129771,183.0
BX1161,0.25190839694656486,15.0
BX1201,0.5419847328244275,208.0
BX1202,0.4618320610687023,247.0
BX1203,0.5,200.0
BX1271,0.08396946564885496,0.0
BX2691,0.1984732824427481,7.0
BX2791,0.183206106870229,3.0
BX2891,0.1717557251908397,2.0
MN0101,0.9732824427480916,424.0
MN0102,0.9122137404580153,207.0
MN0191,0.08396946564885496,0.0
MN0201,0.9694656488549618,280.0
MN0202,0.9618320610687023,229.0
MN0203,0.8740458015267175,188.0
MN0301,0.950381679389313,221.0
MN0302,0.8816793893129771,223.0
MN0303,0.9274809160305344,307.0
MN0401,0.9389312977099237,503.0
MN0402,0.9847328244274809,438.0
MN0501,0.9961832061068703,602.0
MN0502,1.0,1430.0
MN0601,0.2862595419847328,9.0
MN0602,0.9809160305343512,176.0
MN0603,0.9427480916030534,268.0
MN0604,0.9923664122137404,456.0
MN0661,0.2366412213740458,1.0
MN0701,0.8969465648854962,226.0
MN0702,0.8664122137404581,322.0
MN0703,0.8473282442748091,158.0
MN0801,0.9083969465648855,322.0
MN0802,0.9312977099236641,333.0
MN0803,0.9580152671755725,273.0
MN0901,0.48854961832061067,79.0
MN0902,0.6374045801526718,76.0
MN0903,0.7900763358778626,170.0
MN1001,0.8893129770992366,199.0
MN1002,0.7022900763358778,200.0
MN1101,0.7633587786259542,167.0
MN1102,0.8091603053435115,300.0
MN1191,0.08396946564885496,0.0
MN1201,0.8320610687022901,248.0
MN1202,0.8053435114503816,283.0
MN1203,0.7862595419847328,153.0
MN1291,0.2099236641221374,2.0
MN1292,0.21755725190839695,3.0
MN6491,0.21374045801526717,11.0
QN0101,0.5038167938931297,297.0
QN0102,0.6641221374045801,86.0
QN0103,0.8435114503816794,252.0
QN0104,0.8702290076335878,338.0
QN0105,0.7366412213740458,269.0
QN0151,0.08396946564885496,0.0
QN0161,0.4732824427480916,21.0
QN0171,0.08396946564885496,0.0
QN0191,0.08396946564885496,0.0
QN0201,0.6183206106870229,183.0
QN0202,0.6221374045801527,317.0
QN0203,0.7099236641221374,291.0
QN0261,0.22137404580152673,3.0
QN0271,0.20610687022900764,3.0
QN0301,0.8931297709923665,544.0
QN0302,0.5114503816793893,154.0
QN0303,0.9541984732824428,275.0
QN0401,0.851145038167939,511.0
QN0402,0.8778625954198473,321.0
QN0501,0.5267175572519084,325.0
QN0502,0.7977099236641222,466.0
QN0503,0.648854961832061,219.0
QN0504,0.5305343511450382,195.0
QN0571,0.08396946564885496,0.0
QN0572,0.08396946564885496,0.0
QN0573,0.08396946564885496,0.0
QN0574,0.17557251908396945,2.0
QN0601,0.7175572519083969,187.0
QN0602,0.5763358778625954,366.0
QN0701,0.37404580152671757,192.0
QN0702,0.37786259541984735,152.0
QN0703,0.2824427480916031,63.0
QN0704,0.42748091603053434,205.0
QN0705,0.3969465648854962,99.0
QN0706,0.35877862595419846,70.0
QN0707,0.916030534351145,598.0
QN0761,0.08396946564885496,0.0
QN0791,0.08396946564885496,0.0
QN0801,0.4083969465648855,116.0
QN0802,0.4351145038167939,136.0
QN0803,0.3931297709923664,99.0
QN0804,0.33969465648854963,97.0
QN0805,0.5458015267175572,165.0
QN0871,0.08396946564885496,0.0
QN0891,0.08396946564885496,0.0
QN0901,0.4770992366412214,97.0
QN0902,0.7442748091603053,296.0
QN0903,0.9007633587786259,232.0
QN0904,0.7251908396946565,170.0
QN0905,0.6870229007633588,193.0
QN1001,0.6946564885496184,680.0
QN1002,0.6755725190839694,200.0
QN1003,0.3320610687022901,121.0
QN1091,0.08396946564885496,0.0
QN1101,0.38549618320610685,163.0
QN1102,0.33587786259541985,163.0
QN1103,0.2748091603053435,107.0
QN1104,0.29770992366412213,68.0
QN1191,0.08396946564885496,0.0
QN1201,0.8854961832061069,644.0
QN1202,0.4847328244274809,185.0
QN1203,0.4122137404580153,167.0
QN1204,0.366412213740458,94.0
QN1205,0.3473282442748092,194.0
QN1206,0.5381679389312977,138.0
QN1301,0.3549618320610687,120.0
QN1302,0.3511450381679389,146.0
QN1303,0.45038167938931295,281.0
QN1304,0.2633587786259542,50.0
QN1305,0.3244274809160305,79.0
QN1306,0.3053435114503817,104.0
QN1307,0.30916030534351147,89.0
QN1371,0.08396946564885496,0.0
QN1401,0.31679389312977096,117.0
QN1402,0.26717557251908397,77.0
QN1403,0.2900763358778626,114.0
QN1491,0.08396946564885496,0.0
QN8081,0.17938931297709923,2.0
QN8191,0.1946564885496183,7.0
QN8291,0.08396946564885496,0.0
QN8381,0.18702290076335878,20.0
QN8491,0.08396946564885496,0.0
QN8492,0.08396946564885496,0.0
SI0101,0.44274809160305345,103.0
SI0102,0.5076335877862596,125.0
SI0103,0.40458015267175573,119.0
SI0104,0.3015267175572519,153.0
SI0105,0.36259541984732824,204.0
SI0106,0.6412213740458015,257.0
SI0107,0.3435114503816794,224.0
SI0191,0.08396946564885496,0.0
SI0201,0.40076335877862596,259.0
SI0202,0.42366412213740456,225.0
SI0203,0.23282442748091603,141.0
SI0204,0.2595419847328244,272.0
SI0291,0.08396946564885496,0.0
SI0301,0.31297709923664124,107.0
SI0302,0.3282442748091603,258.0
SI0303,0.2480916030534351,79.0
SI0304,0.24045801526717558,182.0
SI0305,0.29389312977099236,209.0
SI0391,0.20229007633587787,10.0
SI9561,0.08396946564885496,0.0
SI9591,0.08396946564885496,0.0
SI9592,0.08396946564885496,0.0
SI9593,0.08396946564885496,0.0
