nta2020,noise_pct,noise_per_km2,noise_count
BK0101,0.648854961832061,698.4090787793426,3995.0
BK0102,0.9274809160305344,2298.897618397807,10737.0
BK0103,0.6374045801526718,644.4359471626926,1586.0
BK0104,0.6755725190839694,803.2809787608517,6796.0
BK0201,0.7022900763358778,903.4641128206076,1459.0
BK0202,0.9083969465648855,1919.6719986427765,7370.0
BK0203,0.7251908396946565,1066.5591872756474,3025.0
BK0204,0.6564885496183206,716.4317839326447,1688.0
BK0261,0.24045801526717558,62.37133376591707,102.0
BK0301,0.7633587786259542,1221.1928465139001,7290.0
BK0302,0.8053435114503816,1396.5145575941488,9326.0
BK0401,0.9465648854961832,2828.8104133051243,10589.0
BK0402,0.8854961832061069,1784.193509802837,8062.0
BK0471,0.1183206106870229,6.642285053243081,6.0
BK0501,0.6984732824427481,887.2574628899739,3498.0
BK0502,0.5801526717557252,515.5514614201994,2326.0
BK0503,0.5687022900763359,470.1751096597399,3530.0
BK0504,0.4961832061068702,356.01697985042483,1558.0
BK0505,0.6335877862595419,639.9894077702357,3262.0
BK0571,0.20229007633587787,37.39516047885501,49.0
BK0601,0.5725190839694656,472.49324863006734,4646.0
BK0602,0.6641221374045801,732.9845713797137,3061.0
BK0701,0.49236641221374045,346.36188556452123,857.0
BK0702,0.48091603053435117,342.62751011952565,2789.0
BK0703,0.6793893129770993,807.4613945798445,2446.0
BK0771,0.08778625954198473,1.7598465369499807,6.0
BK0801,0.7557251908396947,1192.6481827885384,1988.0
BK0802,0.816793893129771,1447.6237380862485,8289.0
BK0891,0.3931297709923664,198.64326329500707,39.0
BK0901,0.8129770992366412,1421.2503460901262,4607.0
BK0902,0.851145038167939,1708.7038135905727,6638.0
BK1001,0.5381679389312977,426.4920485049311,4244.0
BK1002,0.40076335877862596,210.38912500363176,989.0
BK1061,0.08015267175572519,1.4642841578099302,2.0
BK1091,0.17938931297709923,30.397842840240333,49.0
BK1101,0.6679389312977099,752.850754997938,5909.0
BK1102,0.4351145038167939,276.78707811801956,918.0
BK1103,0.5458015267175572,434.3982037192089,2371.0
BK1201,0.7709923664122137,1235.199530306568,2344.0
BK1202,0.37404580152671757,167.3597723459335,1094.0
BK1203,0.6450381679389313,683.9364801797162,1930.0
BK1204,0.42366412213740456,270.68145306302546,1370.0
BK1301,0.4389312977099237,281.06462674337405,1171.0
BK1302,0.5534351145038168,440.7086700363905,3381.0
BK1303,0.6412213740458015,661.7000093031698,1447.0
BK1391,0.14122137404580154,13.219478102794591,9.0
BK1401,0.9198473282442748,2033.8859315223904,7892.0
BK1402,0.5992366412213741,555.017519946746,2053.0
BK1403,0.5572519083969466,440.71741954681784,2292.0
BK1501,0.6297709923664122,638.9263434344839,3595.0
BK1502,0.5877862595419847,527.683514780419,2331.0
BK1503,0.45038167938931295,292.9752443990324,2994.0
BK1601,0.7748091603053435,1236.3514410943735,4016.0
BK1602,0.7519083969465649,1169.2447133251444,5818.0
BK1701,0.8015267175572519,1393.2151306494259,4450.0
BK1702,0.6145038167938931,607.053917495115,2365.0
BK1703,0.5648854961832062,466.3896305589743,2050.0
BK1704,0.7137404580152672,1042.1463619635165,3097.0
BK1771,0.07633587786259542,1.447471117360399,1.0
BK1801,0.46946564885496184,322.14362109754217,2826.0
BK1802,0.366412213740458,157.7677317782349,1499.0
BK1803,0.4732824427480916,322.9529505461871,3679.0
BK1891,0.12595419847328243,8.122365143968473,57.0
BK1892,0.06870229007633588,1.1703225016176468,2.0
BK1893,0.20610687022900764,37.52863662265802,70.0
BK5591,0.22519083969465647,54.34008975562809,240.0
BK5691,0.019083969465648856,0.0,0.0
BK5692,0.019083969465648856,0.0,0.0
BK5693,0.11068702290076336,4.4013224504096335,13.0
BX0101,0.7366412213740458,1073.8043846455485,7142.0
BX0102,0.7900763358778626,1309.3265927791867,3672.0
BX0201,0.44656488549618323,290.9861675299102,2127.0
BX0202,0.8206106870229007,1496.6635090975424,3742.0
BX0291,0.019083969465648856,0.0,0.0
BX0301,0.8396946564885496,1674.388120246653,3756.0
BX0302,0.9961832061068703,5846.410230724816,9497.0
BX0303,0.8587786259541985,1729.8354139030569,4490.0
BX0391,0.183206106870229,31.06682026190512,32.0
BX0401,0.9312977099236641,2362.642007618992,10170.0
BX0402,0.9389312977099237,2634.13704525066,5584.0
BX0403,0.9656488549618321,3316.6379715709268,7333.0
BX0491,0.19083969465648856,32.85122215892504,15.0
BX0492,0.5229007633587787,396.6138575008056,120.0
BX0501,0.916030534351145,2011.4887712517957,6422.0
BX0502,0.9732824427480916,3506.30225592003,7227.0
BX0503,0.9809160305343512,3627.810533580332,4352.0
BX0601,0.7824427480916031,1271.7656430640786,2418.0
BX0602,0.8549618320610687,1720.5193072995417,4426.0
BX0603,0.8702290076335878,1759.0336460079732,4688.0
BX0701,0.9236641221374046,2066.6585988514116,6154.0
BX0702,0.8740458015267175,1762.8629044627714,7040.0
BX0703,0.8969465648854962,1852.403754545576,4737.0
BX0801,0.950381679389313,2829.4801572375436,5049.0
BX0802,0.8664122137404581,1752.371513365065,3510.0
BX0803,0.4122137404580153,240.57108184588566,2466.0
BX0901,0.7977099236641222,1368.0493001750694,7157.0
BX0902,0.5763358778625954,490.5076512332929,2415.0
BX0903,0.5916030534351145,530.9991567237531,2837.0
BX0904,0.7213740458015268,1046.795407306888,1562.0
BX0991,0.27099236641221375,90.07970103724902,114.0
BX1001,0.5419847328244275,432.9542313156185,1082.0
BX1002,0.4083969465648855,240.35413585443607,2595.0
BX1003,0.4541984732824427,296.44003915014093,1701.0
BX1004,0.2633587786259542,73.00781107503458,345.0
BX1071,0.07251908396946564,1.2542000646749611,1.0
BX1091,0.1946564885496183,36.25292651925281,128.0
BX1101,0.8625954198473282,1751.0072002070865,4436.0
BX1102,0.5152671755725191,395.0085618545321,1787.0
BX1103,0.44274809160305345,283.938704610684,1388.0
BX1104,0.8358778625954199,1665.7745312008858,4267.0
BX1161,0.16412213740458015,26.265345765312286,52.0
BX1201,0.6603053435114504,717.4484069607909,4230.0
BX1202,0.4198473282442748,267.9124182967913,2458.0
BX1203,1.0,19364.710743041476,124961.0
BX1271,0.13358778625954199,10.307558449403913,30.0
BX2691,0.21755725190839695,51.90956649455383,428.0
BX2791,0.15648854961832062,19.486522347817765,106.0
BX2891,0.1450381679389313,17.46672382463723,282.0
MN0101,0.7595419847328244,1217.6773340524078,3789.0
MN0102,0.7862595419847328,1288.376745114236,2832.0
MN0191,0.12213740458015267,7.216458944553538,14.0
MN0201,0.8816793893129771,1780.1316313072866,3723.0
MN0202,0.9122137404580153,1986.9055892136482,3411.0
MN0203,0.8320610687022901,1633.76729676268,3815.0
MN0301,0.8893129770992366,1786.795107278473,3338.0
MN0302,0.9580152671755725,2843.974546582931,7584.0
MN0303,0.9618320610687023,3045.4266387552816,9362.0
MN0401,0.7786259541984732,1245.6274521665769,5989.0
MN0402,0.8435114503816794,1682.8898630629633,5015.0
MN0501,0.8244274809160306,1558.5227281927234,3757.0
MN0502,0.7290076335877863,1066.967641569266,4246.0
MN0601,0.5190839694656488,395.35261922743234,357.0
MN0602,0.9007633587786259,1867.0166622452562,2276.0
MN0603,0.8473282442748091,1698.909137542586,4341.0
MN0604,0.7442748091603053,1104.5727031862575,2352.0
MN0661,0.3320610687022901,118.75665658276519,21.0
MN0701,0.7175572519083969,1043.0314381144105,2672.0
MN0702,0.7938931297709924,1329.8483520924856,5482.0
MN0703,0.8282442748091603,1625.9004344879143,3483.0
MN0801,0.7099236641221374,976.5774914806367,3404.0
MN0802,0.6221374045801527,630.6350113651647,2052.0
MN0803,0.8091603053435115,1407.2137393922937,3114.0
MN0901,0.6068702290076335,581.481462955837,1503.0
MN0902,0.8931297709923665,1822.0969071204265,3176.0
MN0903,0.9923664122137404,4048.5235387945672,10510.0
MN1001,0.9847328244274809,3774.5038250879384,8838.0
MN1002,0.9694656488549618,3462.460867470863,13377.0
MN1101,0.9427480916030534,2697.370938287435,7288.0
MN1102,0.9351145038167938,2389.006883746146,10127.0
MN1191,0.25190839694656486,70.39172709132774,268.0
MN1201,0.9885496183206107,3892.0863379286175,13298.0
MN1202,0.9770992366412213,3588.877367812538,14453.0
MN1203,0.9541984732824428,2843.8102452829958,6676.0
MN1291,0.3435114503816794,131.7763507176743,166.0
MN1292,0.29770992366412213,103.2179574984089,168.0
MN6491,0.22137404580152673,52.94240237102581,329.0
QN0101,0.4618320610687023,316.12462294978593,2989.0
QN0102,0.732824427480916,1070.9397218559905,1926.0
QN0103,0.767175572519084,1222.6037263196974,4179.0
QN0104,0.6717557251908397,769.2236329379895,3247.0
QN0105,0.7404580152671756,1093.6498950297073,4914.0
QN0151,0.04961832061068702,0.33933449199907434,1.0
QN0161,0.16793893129770993,27.42414916924777,20.0
QN0171,0.10687022900763359,4.216730873329994,3.0
QN0191,0.31679389312977096,110.64314801247907,48.0
QN0201,0.5954198473282443,554.6827910682389,2480.0
QN0202,0.5038167938931297,378.5392835006872,2925.0
QN0203,0.5305343511450382,410.6232449476293,2192.0
QN0261,0.2480916030534351,66.04594984231935,94.0
QN0271,0.15267175572519084,19.0081330109651,44.0
QN0301,0.7480916030534351,1144.224770283373,7291.0
QN0302,0.5267175572519084,402.7478100428498,1878.0
QN0303,0.6908396946564885,843.7084866617007,1909.0
QN0401,0.6870229007633588,841.0302959324075,5736.0
QN0402,0.9045801526717557,1904.2122330021898,7412.0
QN0501,0.3893129770992366,196.88874012227157,1859.0
QN0502,0.6946564885496184,878.20146914061,6047.0
QN0503,0.4580152671755725,308.7158964392679,1499.0
QN0504,0.37786259541984735,191.08663299266297,1081.0
QN0571,0.09923664122137404,3.2312807995039488,4.0
QN0572,0.019083969465648856,0.0,0.0
QN0573,0.0648854961832061,0.7056902743328736,1.0
QN0574,0.1297709923664122,8.710215552278319,44.0
QN0601,0.4770992366412214,341.60359944316025,1117.0
QN0602,0.6030534351145038,561.3261050000627,5267.0
QN0701,0.35877862595419846,151.56642320520848,1640.0
QN0702,0.2862595419847328,96.37710273861575,823.0
QN0703,0.29389312977099236,101.6055382832672,648.0
QN0704,0.41603053435114506,257.1850351603002,2354.0
QN0705,0.4312977099236641,276.56108299829384,1419.0
QN0706,0.3511450381679389,146.67589572996712,628.0
QN0707,0.683206106870229,809.301261842815,5055.0
QN0761,0.18702290076335878,32.77870571118379,37.0
QN0791,0.10305343511450382,3.9219053767886307,7.0
QN0801,0.38549618320610685,192.08246253397803,1067.0
QN0802,0.8778625954198473,1765.2347324491066,10569.0
QN0803,0.33587786259541985,128.51575761591369,691.0
QN0804,0.3473282442748092,143.08908457419207,913.0
QN0805,0.46564885496183206,319.58006349090033,1430.0
QN0871,0.019083969465648856,0.0,0.0
QN0891,0.2099236641221374,49.555777995365226,171.0
QN0901,0.549618320610687,438.9396665766392,1441.0
QN0902,0.5610687022900763,441.87484581788317,2164.0
QN0903,0.6106870229007634,587.4217106513136,1506.0
QN0904,0.583969465648855,518.5973799813811,1517.0
QN0905,0.6526717557251909,701.3779101468449,2692.0
QN1001,0.6259541984732825,638.686232330793,8451.0
QN1002,0.42748091603053434,274.6641392687735,1115.0
QN1003,0.32061068702290074,116.21645774599875,988.0
QN1091,0.09541984732824428,2.089650921884479,4.0
QN1101,0.3282442748091603,118.70082068418998,1067.0
QN1102,0.33969465648854963,131.77390286332997,1504.0
QN1103,0.1984732824427481,37.38340005689358,413.0
QN1104,0.25572519083969464,71.17825533408103,457.0
QN1191,0.13740458015267176,12.515193271967194,53.0
QN1201,0.6183206106870229,627.0887115047485,4752.0
QN1202,0.7061068702290076,940.618894696551,5762.0
QN1203,0.5114503816793893,390.02137155674836,3024.0
QN1204,0.3969465648854962,199.03368122451127,1109.0
QN1205,0.3816793893129771,191.58340152440272,2302.0
QN1206,0.40458015267175573,221.9387423947408,879.0
QN1301,0.22900763358778625,54.896304325061806,404.0
QN1302,0.2595419847328244,72.09290655881544,646.0
QN1303,0.48854961832061067,344.4550480372482,3884.0
QN1304,0.2748091603053435,93.63801538364034,501.0
QN1305,0.2900763358778626,99.5090966157763,641.0
QN1306,0.30916030534351147,106.54683114203243,989.0
QN1307,0.31297709923664124,109.78153812355468,838.0
QN1371,0.019083969465648856,0.0,0.0
QN1401,0.4847328244274809,343.0628958529222,3347.0
QN1402,0.5076335877862596,386.8653522352505,3151.0
QN1403,0.3015267175572519,105.7215128962409,1180.0
QN1491,0.0916030534351145,2.0823539438721967,3.0
QN8081,0.019083969465648856,0.0,0.0
QN8191,0.3244274809160305,116.39718305241124,1041.0
QN8291,0.14885496183206107,18.275142694333113,71.0
QN8381,0.04198473282442748,0.09417659720920712,3.0
QN8491,0.019083969465648856,0.0,0.0
QN8492,0.05343511450381679,0.35375236192112197,3.0
SI0101,0.5343511450381679,418.51826369372236,1792.0
SI0102,0.5,367.9427775381549,1440.0
SI0103,0.36259541984732824,153.1117071843715,871.0
SI0104,0.2824427480916031,94.90966069051238,1308.0
SI0105,0.2786259541984733,94.23678438907837,1164.0
SI0106,0.3549618320610687,149.01895492127346,872.0
SI0107,0.26717557251908397,79.32848891487485,1145.0
SI0191,0.08396946564885496,1.6429001886507806,1.0
SI0201,0.3053435114503817,105.79475880054312,1367.0
SI0202,0.3702290076335878,166.61612929597254,1670.0
SI0203,0.17557251908396945,29.720855073391355,893.0
SI0204,0.1717557251908397,29.33559186209945,991.0
SI0291,0.03816793893129771,0.090965536777848,1.0
SI0301,0.23282442748091603,56.02681590080017,505.0
SI0302,0.2366412213740458,58.49357647080266,1100.0
SI0303,0.21374045801526717,50.65127200165012,553.0
SI0304,0.16030534351145037,25.340623135121476,736.0
SI0305,0.24427480916030533,65.86576777748922,1344.0
SI0391,0.061068702290076333,0.6496001495254653,5.0
SI9561,0.05725190839694656,0.6282062749707141,1.0
SI9591,0.019083969465648856,0.0,0.0
SI9592,0.11450381679389313,4.567809827858839,8.0
SI9593,0.04580152671755725,0.26558025481733877,1.0
